dataset,split,sim
ames,random,0.6454221384307519
ames,scaffold,0.3811059377343015
ames,cluster,0.3484097485257915
bbb_martins,random,0.5538963965092144
bbb_martins,scaffold,0.42688741100194716
bbb_martins,cluster,0.2905676124933936
bioavailability_ma,random,0.44925198938051647
bioavailability_ma,scaffold,0.3680128956485004
bioavailability_ma,cluster,0.25990426150758605
caco2_wang,random,0.6212898952355879
caco2_wang,scaffold,0.4089506906540277
caco2_wang,cluster,0.2666034015185721
clearance_hepatocyte_az,random,0.5452103371546745
clearance_hepatocyte_az,scaffold,0.4181063808969607
clearance_hepatocyte_az,cluster,0.2810220030021595
clearance_microsome_az,random,0.5729299407575803
clearance_microsome_az,scaffold,0.47882524500906376
clearance_microsome_az,cluster,0.27667548429324307
cyp2c9_substrate_carbonmangels,random,0.47057646919247786
cyp2c9_substrate_carbonmangels,scaffold,0.3497104281748352
cyp2c9_substrate_carbonmangels,cluster,0.26981140565335543
cyp2c9_veith,random,0.5764799160304253
cyp2c9_veith,scaffold,0.4610675129066693
cyp2c9_veith,cluster,0.3361230878852597
cyp2d6_substrate_carbonmangels,random,0.447079097508747
cyp2d6_substrate_carbonmangels,scaffold,0.37075351236917803
cyp2d6_substrate_carbonmangels,cluster,0.2776232582724839
cyp2d6_veith,random,0.5703683055790041
cyp2d6_veith,scaffold,0.46474744733155093
cyp2d6_veith,cluster,0.3417564532274426
cyp3a4_substrate_carbonmangels,random,0.4477400570048222
cyp3a4_substrate_carbonmangels,scaffold,0.3546021517533963
cyp3a4_substrate_carbonmangels,cluster,0.273168006278588
cyp3a4_veith,random,0.5614698429901759
cyp3a4_veith,scaffold,0.46667938904125783
cyp3a4_veith,cluster,0.34066733681163086
dili,random,0.36848192990533835
dili,scaffold,0.323509404722377
dili,cluster,0.25831594914297634
half_life_obach,random,0.44690699033072756
half_life_obach,scaffold,0.3974572655110191
half_life_obach,cluster,0.25351584855380815
herg,random,0.546595398547794
herg,scaffold,0.38428210393813744
herg,cluster,0.25666939156684737
hia_hou,random,0.4353053202372657
hia_hou,scaffold,0.35072081121753995
hia_hou,cluster,0.26682753427789785
ld50_zhu,random,0.5708775825268758
ld50_zhu,scaffold,0.5016080279921038
ld50_zhu,cluster,0.3464392438850498
lipophilicity_astrazeneca,random,0.6301530407411405
lipophilicity_astrazeneca,scaffold,0.5093993334632478
lipophilicity_astrazeneca,cluster,0.31794701603326275
pgp_broccatelli,random,0.6023545436649598
pgp_broccatelli,scaffold,0.4569542983441668
pgp_broccatelli,cluster,0.25896589358733485
ppbr_az,random,0.5874501827140579
ppbr_az,scaffold,0.4663705765078838
ppbr_az,cluster,0.2845417212413508
solubility_aqsoldb,random,0.6187458523113716
solubility_aqsoldb,scaffold,0.5406136558879296
solubility_aqsoldb,cluster,0.3404635885627468
vdss_lombardo,random,0.4447047164452598
vdss_lombardo,scaffold,0.38348450587778193
vdss_lombardo,cluster,0.26255306881450474
