dataset,model,metric,realistic,random_mean,realistic_mean,n,mean,ci_lo,ci_hi,p_wilcoxon,p_ttest,established,q_value
bbb_martins,rf,auroc,scaffold,0.9184561259173055,0.9009523144004334,15,0.017503811516871956,0.013561139226560479,0.021508519328244907,6.103515625e-05,6.317300075815452e-07,True,0.000152587890625
bbb_martins,rf,auroc,cluster,0.9184561259173055,0.760231968239553,15,0.15822415767775244,0.1497398647495759,0.16716783005097616,6.103515625e-05,9.815219795936819e-15,True,6.103515625e-05
bbb_martins,xgboost,auroc,scaffold,0.9131390854612551,0.8989725785350622,15,0.014166506926192894,0.010078611141924114,0.018598186510380837,6.103515625e-05,1.9323466420882465e-05,True,0.000152587890625
bbb_martins,xgboost,auroc,cluster,0.9131390854612551,0.7495678763519161,15,0.16357120910933903,0.15683626906734205,0.17079109572110357,6.103515625e-05,3.4286098820336774e-16,True,7.62939453125e-05
bioavailability_ma,rf,auroc,scaffold,0.7426588406400221,0.6790045525707403,15,0.06365428806928183,0.021875808713006054,0.11339201329214527,0.04791259765625,0.01988519685137743,True,0.04791259765625
bioavailability_ma,rf,auroc,cluster,0.7426588406400221,0.6790778723986558,15,0.06358096824136623,0.04084964965808558,0.0885132840972051,6.103515625e-05,0.00021685957146577115,True,6.103515625e-05
bioavailability_ma,xgboost,auroc,scaffold,0.7271204334624524,0.6604877355429427,15,0.06663269791950957,0.03435808177687406,0.10275710726139073,0.0006103515625,0.0031129481219686005,True,0.0010172526041666667
bioavailability_ma,xgboost,auroc,cluster,0.7271204334624524,0.6587059883176402,15,0.06841444514481229,0.05102037221465899,0.08523396284376991,6.103515625e-05,2.9578100729566843e-06,True,7.62939453125e-05
caco2_wang,rf,mae,scaffold,0.3288142056821991,0.42173978221625574,15,0.09292557653405648,0.08107295376037041,0.10331251860889169,6.103515625e-05,2.5698899313029996e-10,True,0.000152587890625
caco2_wang,rf,mae,cluster,0.3288142056821991,0.43264820263170617,15,0.10383399694950696,0.09456894287366356,0.11316175449706968,6.103515625e-05,3.798146037759392e-12,True,6.103515625e-05
caco2_wang,xgboost,mae,scaffold,0.3185571371685835,0.41701305477372946,15,0.09845591760514591,0.08065768876944716,0.11505217434297232,6.103515625e-05,2.8648432212902977e-08,True,0.000152587890625
caco2_wang,xgboost,mae,cluster,0.3185571371685835,0.4304319577978582,15,0.11187482062927469,0.1008888611241612,0.12322768459665417,6.103515625e-05,1.7301957517037478e-11,True,7.62939453125e-05
dili,rf,auroc,scaffold,0.8755663361401224,0.8404640012388509,15,0.03510233490127163,0.023092660586380574,0.04707746261506559,0.0001220703125,0.00011485507284445319,True,0.00020345052083333334
dili,rf,auroc,cluster,0.8755663361401224,0.7715375554250604,15,0.1040287807150621,0.09019142239479296,0.11647942400022501,6.103515625e-05,6.951208990113499e-10,True,6.103515625e-05
dili,xgboost,auroc,scaffold,0.8570384133501494,0.8290171012474212,15,0.02802131210272799,0.01341621374798261,0.043919290179431685,0.00335693359375,0.004693956160080897,True,0.0041961669921875
dili,xgboost,auroc,cluster,0.8570384133501494,0.7391411801933145,15,0.11789723315683484,0.10080910053045448,0.13586383924848533,6.103515625e-05,4.265845672223104e-09,True,7.62939453125e-05
herg,rf,auroc,scaffold,0.8521986652727644,0.8753123597185092,15,-0.023113694445744862,-0.03387740774624167,-0.012096646185794022,0.0042724609375,0.0012705491148703378,True,0.005340576171875
herg,rf,auroc,cluster,0.8521986652727644,0.7735451066731078,15,0.07865355859965666,0.06645852250385455,0.08940792392287303,6.103515625e-05,4.743557533435013e-09,True,6.103515625e-05
herg,xgboost,auroc,scaffold,0.8391219187355267,0.8452871709392331,15,-0.006165252203706428,-0.01758873429552887,0.004851241835306405,0.5614013671875,0.31364940932245666,False,0.5614013671875
herg,xgboost,auroc,cluster,0.8391219187355267,0.7873311930045918,15,0.05179072573093492,0.03548639307634612,0.06936231686547081,0.0001220703125,4.031365170489333e-05,True,0.0001220703125
