dataset,metric,random_mean,cluster_mean,gap_fm,established
ames,auroc,0.8852447646977041,0.743226009342156,0.14201875535554817,True
bbb_martins,auroc,0.9136417419673024,0.7719980207727383,0.14164372119456414,True
bioavailability_ma,auroc,0.7648701962565931,0.7358578715003458,0.029012324756247487,False
caco2_wang,mae,0.37136689362557546,0.4902202448057136,0.11885335118013819,True
clearance_hepatocyte_az,spearman,0.4629595812448529,0.2301660883667224,0.2327934928781305,True
clearance_microsome_az,spearman,0.5364721446561383,0.2828723083904967,0.2535998362656416,True
cyp2c9_substrate_carbonmangels,auprc,0.42625006207051563,0.21231458686871463,0.21393547520180103,True
cyp2c9_veith,auprc,0.7696586787767292,0.6832323414044542,0.08642633737227508,True
cyp2d6_substrate_carbonmangels,auprc,0.6217977429198905,0.5074904650600605,0.11430727785983012,True
cyp2d6_veith,auprc,0.6492009444540278,0.45913823839939255,0.19006270605463507,True
cyp3a4_substrate_carbonmangels,auroc,0.6470311680524926,0.6131921764905843,0.03383899156190822,False
cyp3a4_veith,auprc,0.8299932756602146,0.6517252913370343,0.17826798432318022,True
dili,auroc,0.8724535424787694,0.806059089318241,0.0663944531605286,True
half_life_obach,spearman,0.26014243133322235,0.07255621425107253,0.1875862170821498,True
herg,auroc,0.8383639121228554,0.7879487552023469,0.050415156920508686,True
hia_hou,auroc,0.9419221751379638,0.899365367303897,0.04255680783406684,True
ld50_zhu,mae,0.48994096524727865,0.57971657394243,0.08977560869515118,True
lipophilicity_astrazeneca,mae,0.5945112683295339,0.8436560436824474,0.2491447753529135,True
pgp_broccatelli,auroc,0.9365590976085687,0.8040337480781985,0.1325253495303703,True
ppbr_az,mae,9.653912470190647,13.931055241306217,4.277142771115572,True
solubility_aqsoldb,mae,0.8532583225897947,1.2032842582523904,0.35002593566259566,True
vdss_lombardo,spearman,0.471195382036262,0.30284928463933575,0.1683460973969262,True
