dataset,benefit,eaurc_ad,eaurc_ens,rel_gap
ames,0.04931121069379037,0.21758268315243914,0.17135719403248523,0.1597033720592433
bbb_martins,0.15063191837528697,0.10409063821950859,0.08430243585567883,0.18580216001329092
bioavailability_ma,0.01994636961635158,0.21421834427583003,0.1393081528836282,0.07600125931153529
caco2_wang,0.014923857608673314,0.24302241210238348,0.22842994278490555,0.3108473968701366
clearance_hepatocyte_az,0.0011475857522547889,20.725161235589287,20.249982631605256,0.5188986369220575
clearance_microsome_az,-0.03515054902060316,25.982298032958727,19.152803067639297,0.5481453208079019
cyp2c9_substrate_carbonmangels,-0.07779131705057632,0.20079890828434416,0.12016147061088815,0.22491494911967658
cyp2c9_veith,-0.0801792004742208,0.2284772403778424,0.10913323650788317,0.15940191812681045
cyp2d6_substrate_carbonmangels,-0.07476006083131272,0.3080659199746526,0.1746421234964691,0.24744372449601912
cyp2d6_veith,-0.038557349775667014,0.1411242184003713,0.07251691712314859,0.30538654248438274
cyp3a4_substrate_carbonmangels,-0.04072635015257966,0.34277565431650714,0.28708591565666974,0.07317724461243542
cyp3a4_veith,-0.08414181678643291,0.20328061278368023,0.08651214174969768,0.22473558450302933
dili,0.009432672590567442,0.2614202992773264,0.1675379066740687,0.10649311717255507
half_life_obach,0.04977960427938335,18.701479006614033,13.256257235221835,0.480481614358269
herg,0.007637936940262569,0.23438356736252947,0.16163686057054666,0.06574957985173448
hia_hou,0.19893617021276624,0.09185211973955985,0.016675820035856583,0.045144190381874554
ld50_zhu,0.07005395742580947,0.27384861427244434,0.294316242358593,0.24391338477117236
lipophilicity_astrazeneca,0.03105959798340165,0.4410531456987624,0.49896882637824547,0.5252115515600577
pgp_broccatelli,-0.06691433989789441,0.1955489641345966,0.09085458560219203,0.1850802845688829
ppbr_az,0.05598201078757535,8.103355795760809,8.704285984896128,0.5828224626855346
solubility_aqsoldb,0.10102343237402886,0.6158680479553034,0.9960393060883742,0.4254854035997524
vdss_lombardo,-0.022643125937655478,4.3568766672111465,1.630899102871377,0.4827335403584422
